ligand_name	scores
mol10000_config_out1.pdbqt	-9.1
mol10001_config_out1.pdbqt	-10.3
mol10002_config_out1.pdbqt	-9.4
mol10003_config_out1.pdbqt	-9.4
mol10004_config_out1.pdbqt	-9.8
mol10005_config_out1.pdbqt	-7.9
mol10006_config_out1.pdbqt	-9.0
mol10007_config_out1.pdbqt	-9.9
mol10008_config_out1.pdbqt	-11.1
mol10009_config_out1.pdbqt	-9.8
mol1000_config_out1.pdbqt	-8.4
mol10010_config_out1.pdbqt	-8.9
mol10011_config_out1.pdbqt	-6.8
mol10012_config_out1.pdbqt	-9.6
mol10013_config_out1.pdbqt	-9.9
mol10014_config_out1.pdbqt	-9.7
mol10015_config_out1.pdbqt	-9.7
mol10016_config_out1.pdbqt	-8.9
mol10017_config_out1.pdbqt	-9.4
mol10018_config_out1.pdbqt	-9.7
mol10019_config_out1.pdbqt	-7.7
mol1001_config_out1.pdbqt	-10.4
mol10020_config_out1.pdbqt	-9.7
mol10021_config_out1.pdbqt	-9.6
mol10022_config_out1.pdbqt	-6.5
mol10023_config_out1.pdbqt	-10.3
mol10024_config_out1.pdbqt	-8.6
mol10025_config_out1.pdbqt	-11.2
mol10026_config_out1.pdbqt	-8.4
mol10027_config_out1.pdbqt	-11.5
mol10028_config_out1.pdbqt	-10.0
mol10029_config_out1.pdbqt	-9.5
mol1002_config_out1.pdbqt	-11.1
mol10030_config_out1.pdbqt	-9.7
mol10031_config_out1.pdbqt	-9.3
mol10032_config_out1.pdbqt	-10.1
mol10033_config_out1.pdbqt	-10.1
mol10034_config_out1.pdbqt	-10.6
mol10035_config_out1.pdbqt	-9.0
mol10036_config_out1.pdbqt	-8.3
mol10037_config_out1.pdbqt	-9.4
mol10038_config_out1.pdbqt	-11.8
mol10039_config_out1.pdbqt	-7.9
mol1003_config_out1.pdbqt	-8.3
mol10040_config_out1.pdbqt	-11.2
mol10041_config_out1.pdbqt	-9.9
mol10042_config_out1.pdbqt	-9.1
mol10043_config_out1.pdbqt	-10.1
mol10044_config_out1.pdbqt	-8.3
mol10045_config_out1.pdbqt	-8.2
mol10046_config_out1.pdbqt	-9.5
mol10047_config_out1.pdbqt	-10.8
mol10048_config_out1.pdbqt	-9.7
mol10049_config_out1.pdbqt	-8.0
mol1004_config_out1.pdbqt	-9.7
mol10050_config_out1.pdbqt	-9.3
mol10051_config_out1.pdbqt	-8.7
mol10052_config_out1.pdbqt	-10.4
mol10053_config_out1.pdbqt	-9.9
mol10054_config_out1.pdbqt	-9.9
mol10055_config_out1.pdbqt	-9.4
mol10056_config_out1.pdbqt	-10.0
mol10057_config_out1.pdbqt	-9.6
mol10058_config_out1.pdbqt	-10.0
mol10059_config_out1.pdbqt	-10.9
mol1005_config_out1.pdbqt	-9.3
mol10060_config_out1.pdbqt	-9.2
mol10061_config_out1.pdbqt	-9.8
mol10062_config_out1.pdbqt	-10.7
mol10063_config_out1.pdbqt	-7.2
mol10064_config_out1.pdbqt	-9.4
mol10065_config_out1.pdbqt	-9.6
mol10066_config_out1.pdbqt	-7.6
mol10067_config_out1.pdbqt	-10.0
mol10068_config_out1.pdbqt	-9.2
mol10069_config_out1.pdbqt	-11.4
mol1006_config_out1.pdbqt	-9.5
mol10070_config_out1.pdbqt	-9.7
mol10071_config_out1.pdbqt	-9.6
mol10072_config_out1.pdbqt	-10.9
mol10073_config_out1.pdbqt	-9.0
mol10074_config_out1.pdbqt	-6.7
mol10075_config_out1.pdbqt	-8.5
mol10076_config_out1.pdbqt	-11.2
mol10077_config_out1.pdbqt	-8.8
mol10078_config_out1.pdbqt	-8.9
mol10079_config_out1.pdbqt	-8.2
mol1007_config_out1.pdbqt	-10.9
mol10080_config_out1.pdbqt	-8.4
mol10081_config_out1.pdbqt	-8.1
mol10082_config_out1.pdbqt	-10.1
mol10083_config_out1.pdbqt	-10.4
mol10084_config_out1.pdbqt	-9.7
mol10085_config_out1.pdbqt	-8.8
mol10086_config_out1.pdbqt	-9.1
mol10087_config_out1.pdbqt	-10.5
mol10088_config_out1.pdbqt	-11.4
mol10089_config_out1.pdbqt	-12.0
mol1008_config_out1.pdbqt	-9.5
mol10090_config_out1.pdbqt	-10.4
mol10091_config_out1.pdbqt	-9.0
mol10092_config_out1.pdbqt	-9.0
mol10093_config_out1.pdbqt	-9.5
mol10094_config_out1.pdbqt	-8.4
mol10095_config_out1.pdbqt	-8.7
mol10096_config_out1.pdbqt	-11.7
mol10097_config_out1.pdbqt	-9.8
mol10098_config_out1.pdbqt	-8.9
mol10099_config_out1.pdbqt	-9.4
mol1009_config_out1.pdbqt	-7.7
mol100_config_out1.pdbqt	-9.4
mol10100_config_out1.pdbqt	-9.1
mol10101_config_out1.pdbqt	-8.2
mol10102_config_out1.pdbqt	-9.5
mol10103_config_out1.pdbqt	-9.1
mol10104_config_out1.pdbqt	-11.0
mol10105_config_out1.pdbqt	-6.7
mol10106_config_out1.pdbqt	-12.5
mol10107_config_out1.pdbqt	-8.2
mol10108_config_out1.pdbqt	-9.9
mol10109_config_out1.pdbqt	-9.9
mol1010_config_out1.pdbqt	-7.2
mol10110_config_out1.pdbqt	-6.4
mol10111_config_out1.pdbqt	-7.5
mol10112_config_out1.pdbqt	-9.4
mol10113_config_out1.pdbqt	-7.9
mol10114_config_out1.pdbqt	-8.4
mol10115_config_out1.pdbqt	-10.6
mol10116_config_out1.pdbqt	-9.2
mol10117_config_out1.pdbqt	-10.4
mol10118_config_out1.pdbqt	-10.5
mol10119_config_out1.pdbqt	-10.5
mol1011_config_out1.pdbqt	-9.8
mol10120_config_out1.pdbqt	-10.1
mol10121_config_out1.pdbqt	-8.6
mol10122_config_out1.pdbqt	-10.1
mol10123_config_out1.pdbqt	-10.1
mol10124_config_out1.pdbqt	-9.2
mol10125_config_out1.pdbqt	-10.4
mol10126_config_out1.pdbqt	-9.9
mol10127_config_out1.pdbqt	-10.7
mol10128_config_out1.pdbqt	-10.6
mol10129_config_out1.pdbqt	-9.0
mol1012_config_out1.pdbqt	-10.8
mol10130_config_out1.pdbqt	-10.4
mol10131_config_out1.pdbqt	-9.4
mol10132_config_out1.pdbqt	-7.5
mol10133_config_out1.pdbqt	-9.9
mol10134_config_out1.pdbqt	-10.8
mol10135_config_out1.pdbqt	-9.1
mol10136_config_out1.pdbqt	-9.7
mol10137_config_out1.pdbqt	-10.3
mol10138_config_out1.pdbqt	-10.0
mol10139_config_out1.pdbqt	-9.3
mol1013_config_out1.pdbqt	-10.7
mol10140_config_out1.pdbqt	-8.7
mol10141_config_out1.pdbqt	-11.4
mol10142_config_out1.pdbqt	-9.2
mol10143_config_out1.pdbqt	-10.2
mol10144_config_out1.pdbqt	-9.7
mol10145_config_out1.pdbqt	-10.0
mol10146_config_out1.pdbqt	-8.6
mol10147_config_out1.pdbqt	-11.7
mol10148_config_out1.pdbqt	-8.8
mol10149_config_out1.pdbqt	-9.8
mol1014_config_out1.pdbqt	-11.5
mol10150_config_out1.pdbqt	-11.1
mol10151_config_out1.pdbqt	-9.3
mol10152_config_out1.pdbqt	-10.6
mol10153_config_out1.pdbqt	-7.9
mol10154_config_out1.pdbqt	-8.0
mol10155_config_out1.pdbqt	-10.5
mol10156_config_out1.pdbqt	-8.5
mol10157_config_out1.pdbqt	-9.1
mol10158_config_out1.pdbqt	-9.5
mol10159_config_out1.pdbqt	-10.7
mol1015_config_out1.pdbqt	-10.4
mol10160_config_out1.pdbqt	-10.3
mol10161_config_out1.pdbqt	-8.8
mol10162_config_out1.pdbqt	-11.6
mol10163_config_out1.pdbqt	-9.7
mol10164_config_out1.pdbqt	-8.1
mol10165_config_out1.pdbqt	-10.4
mol10166_config_out1.pdbqt	-9.0
mol10167_config_out1.pdbqt	-8.4
mol10168_config_out1.pdbqt	-7.8
mol10169_config_out1.pdbqt	-11.2
mol1016_config_out1.pdbqt	-9.6
mol10170_config_out1.pdbqt	-9.6
mol10171_config_out1.pdbqt	-9.4
mol10172_config_out1.pdbqt	-8.6
mol10173_config_out1.pdbqt	-10.8
mol10174_config_out1.pdbqt	-11.1
mol10175_config_out1.pdbqt	-10.3
mol10176_config_out1.pdbqt	-7.1
mol10177_config_out1.pdbqt	-10.7
mol10178_config_out1.pdbqt	-9.5
mol10179_config_out1.pdbqt	-9.6
mol1017_config_out1.pdbqt	-8.2
mol10180_config_out1.pdbqt	-9.4
mol10181_config_out1.pdbqt	-9.1
mol10182_config_out1.pdbqt	-8.4
mol10183_config_out1.pdbqt	-9.3
mol10184_config_out1.pdbqt	-10.6
mol10185_config_out1.pdbqt	-9.4
mol10186_config_out1.pdbqt	-10.1
mol10187_config_out1.pdbqt	-9.5
mol10188_config_out1.pdbqt	-9.9
mol10189_config_out1.pdbqt	-7.7
mol1018_config_out1.pdbqt	-10.2
mol10190_config_out1.pdbqt	-11.9
mol10191_config_out1.pdbqt	-10.6
mol10192_config_out1.pdbqt	-9.8
mol10193_config_out1.pdbqt	-9.7
mol10194_config_out1.pdbqt	-8.0
mol10195_config_out1.pdbqt	-10.4
mol10196_config_out1.pdbqt	-9.4
mol10197_config_out1.pdbqt	-10.0
mol10198_config_out1.pdbqt	-9.3
mol10199_config_out1.pdbqt	-8.2
mol1019_config_out1.pdbqt	-8.2
mol101_config_out1.pdbqt	-9.9
mol10200_config_out1.pdbqt	-10.1
mol10201_config_out1.pdbqt	-8.9
mol10202_config_out1.pdbqt	-10.7
mol10203_config_out1.pdbqt	-9.3
mol10204_config_out1.pdbqt	-11.4
mol10205_config_out1.pdbqt	-9.8
mol10206_config_out1.pdbqt	-9.6
mol10207_config_out1.pdbqt	-8.8
mol10208_config_out1.pdbqt	-6.6
mol10209_config_out1.pdbqt	-8.4
mol1020_config_out1.pdbqt	-6.7
mol10210_config_out1.pdbqt	-9.9
mol10211_config_out1.pdbqt	-11.3
mol10212_config_out1.pdbqt	-9.7
mol10213_config_out1.pdbqt	-10.0
mol10214_config_out1.pdbqt	-11.0
mol10215_config_out1.pdbqt	-7.8
mol10216_config_out1.pdbqt	-9.9
mol10217_config_out1.pdbqt	-10.2
mol10218_config_out1.pdbqt	-8.4
mol10219_config_out1.pdbqt	-11.4
mol1021_config_out1.pdbqt	-10.8
mol10220_config_out1.pdbqt	-8.4
mol10221_config_out1.pdbqt	-10.2
mol10222_config_out1.pdbqt	-11.4
mol10223_config_out1.pdbqt	-8.0
mol10224_config_out1.pdbqt	-11.1
mol10225_config_out1.pdbqt	-9.5
mol10226_config_out1.pdbqt	-9.1
mol10227_config_out1.pdbqt	-11.5
mol10228_config_out1.pdbqt	-8.1
mol10229_config_out1.pdbqt	-8.8
mol1022_config_out1.pdbqt	-7.5
mol10230_config_out1.pdbqt	-11.0
mol10231_config_out1.pdbqt	-9.6
mol10232_config_out1.pdbqt	-10.3
mol10233_config_out1.pdbqt	-9.9
mol10234_config_out1.pdbqt	-7.6
mol10235_config_out1.pdbqt	-8.8
mol10236_config_out1.pdbqt	-10.4
mol10237_config_out1.pdbqt	-7.3
mol10238_config_out1.pdbqt	-9.7
mol10239_config_out1.pdbqt	-10.1
mol1023_config_out1.pdbqt	-7.2
mol10240_config_out1.pdbqt	-8.1
mol10241_config_out1.pdbqt	-6.1
mol10242_config_out1.pdbqt	-8.4
mol10243_config_out1.pdbqt	-8.0
mol10244_config_out1.pdbqt	-10.0
mol10245_config_out1.pdbqt	-9.1
mol10246_config_out1.pdbqt	-9.8
mol10247_config_out1.pdbqt	-8.9
mol10248_config_out1.pdbqt	-9.6
mol10249_config_out1.pdbqt	-8.7
mol1024_config_out1.pdbqt	-9.5
mol10250_config_out1.pdbqt	-10.0
mol10251_config_out1.pdbqt	-9.2
mol10252_config_out1.pdbqt	-11.0
mol10253_config_out1.pdbqt	-9.0
mol10254_config_out1.pdbqt	-10.6
mol10255_config_out1.pdbqt	-8.8
mol10256_config_out1.pdbqt	-8.9
mol10257_config_out1.pdbqt	-9.5
mol10258_config_out1.pdbqt	-9.6
mol10259_config_out1.pdbqt	-8.9
mol1025_config_out1.pdbqt	-8.0
mol10260_config_out1.pdbqt	-10.4
mol10261_config_out1.pdbqt	-9.4
mol10262_config_out1.pdbqt	-7.9
mol10263_config_out1.pdbqt	-10.4
mol10264_config_out1.pdbqt	-8.6
mol10265_config_out1.pdbqt	-9.7
mol10266_config_out1.pdbqt	-9.5
mol10267_config_out1.pdbqt	-8.0
mol10268_config_out1.pdbqt	-8.2
mol10269_config_out1.pdbqt	-10.0
mol1026_config_out1.pdbqt	-9.9
mol10270_config_out1.pdbqt	-9.1
mol10271_config_out1.pdbqt	-9.3
mol10272_config_out1.pdbqt	-8.1
mol10273_config_out1.pdbqt	-9.7
mol10274_config_out1.pdbqt	-10.0
mol10275_config_out1.pdbqt	-8.9
mol10276_config_out1.pdbqt	-10.5
mol10277_config_out1.pdbqt	-9.9
mol10278_config_out1.pdbqt	-8.0
mol10279_config_out1.pdbqt	-8.3
mol1027_config_out1.pdbqt	-9.6
mol10280_config_out1.pdbqt	-6.3
mol10281_config_out1.pdbqt	-8.6
mol10282_config_out1.pdbqt	-9.4
mol10283_config_out1.pdbqt	-8.8
mol10284_config_out1.pdbqt	-6.9
mol10285_config_out1.pdbqt	-8.7
mol10286_config_out1.pdbqt	-8.7
mol10287_config_out1.pdbqt	-9.2
mol10288_config_out1.pdbqt	-10.3
mol10289_config_out1.pdbqt	-9.1
mol1028_config_out1.pdbqt	-7.5
mol10290_config_out1.pdbqt	-9.4
mol10291_config_out1.pdbqt	-8.3
mol10292_config_out1.pdbqt	-10.5
mol10293_config_out1.pdbqt	-10.3
mol10294_config_out1.pdbqt	-8.6
mol10295_config_out1.pdbqt	-11.1
mol10296_config_out1.pdbqt	-8.1
mol10297_config_out1.pdbqt	-8.3
mol10298_config_out1.pdbqt	-11.2
mol10299_config_out1.pdbqt	-8.0
mol1029_config_out1.pdbqt	-8.8
mol102_config_out1.pdbqt	-8.7
mol10300_config_out1.pdbqt	-8.4
mol10301_config_out1.pdbqt	-9.5
mol10302_config_out1.pdbqt	-8.5
mol10303_config_out1.pdbqt	-9.1
mol10304_config_out1.pdbqt	-9.5
mol10305_config_out1.pdbqt	-8.7
mol10306_config_out1.pdbqt	-9.7
mol10307_config_out1.pdbqt	-8.6
mol10308_config_out1.pdbqt	-9.7
mol10309_config_out1.pdbqt	-7.7
mol1030_config_out1.pdbqt	-9.8
mol10310_config_out1.pdbqt	-10.0
mol10311_config_out1.pdbqt	-8.9
mol10312_config_out1.pdbqt	-8.1
mol10313_config_out1.pdbqt	-8.7
mol10314_config_out1.pdbqt	-9.7
mol10315_config_out1.pdbqt	-10.8
mol10316_config_out1.pdbqt	-11.5
mol10317_config_out1.pdbqt	-7.7
mol10318_config_out1.pdbqt	-10.1
mol10319_config_out1.pdbqt	-5.6
mol1031_config_out1.pdbqt	-6.9
mol10320_config_out1.pdbqt	-10.0
mol10321_config_out1.pdbqt	-8.9
mol10322_config_out1.pdbqt	-9.7
mol10323_config_out1.pdbqt	-10.6
