SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS
Cc1[nH]c(c2c1C(NS(NCCc3cc(OC)c(OC)cc3)(=O)=O)=O)cccc2,417.48700000000014,0.43475293898694173,9,0.75,3,0.5,5,0.3333333333333333,0,0.0,1.8185199999999995,0.3714228701551749
Cc1nn(C[C@H](CNC(NNC(COc2ccc(Br)cc2)=O)=O)C)c(C)c1,438.32600000000014,0.4993920406960518,11,0.9166666666666666,3,0.5,5,0.3333333333333333,0,0.0,2.3079400000000003,0.44323250463647645
Cc1nn(C[C@@H](CNC(NNC(COc2ccc(Br)cc2)=O)=O)C)c(C)c1,438.32600000000014,0.4993920406960518,11,0.9166666666666666,3,0.5,5,0.3333333333333333,0,0.0,2.3079400000000003,0.44323250463647645
COc1c(S(N[C@@H](C(Nc2nc(c3[nH]2)cccc3)=O)CCSC)(=O)=O)cccc1,434.54300000000023,0.48765780576320683,10,0.8333333333333334,3,0.5,6,0.4444444444444444,0,0.0,2.1283000000000003,0.4168750146723945
COc1c(S(N[C@H](C(Nc2nc(c3[nH]2)cccc3)=O)CCSC)(=O)=O)cccc1,434.54300000000023,0.48765780576320683,10,0.8333333333333334,3,0.5,6,0.4444444444444444,0,0.0,2.1283000000000003,0.4168750146723945
COc1c(O)c(\C=N\NC(CNC([C@@H]2C(c3ccccc3)(c4ccccc4)C2)=O)=O)ccc1,443.50300000000016,0.5154502310865727,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.973300000000001,0.5408567504753854
COc1c(O)c(\C=N\NC(CNC([C@H]2C(c3ccccc3)(c4ccccc4)C2)=O)=O)ccc1,443.50300000000016,0.5154502310865727,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.973300000000001,0.5408567504753854
Cc1scc(CCNC(NNC(COc2ccc(Br)cc2)=O)=O)n1,413.2970000000001,0.4217562579484478,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.16592,0.42239476958471217
CCCCNC(C(C(=O)c(c1N2)cc(S(Nc3cc(OC)ccc3)(=O)=O)cc1)=C2)=O,429.49800000000016,0.4720090573528961,9,0.75,3,0.5,5,0.3333333333333333,0,0.0,2.3855000000000004,0.4546124140197664
Cc1[nH]c(c2c1CCNC(CSc3n[nH]nc3)=O)ccc(OC(Cl)(F)F)c2,415.85300000000007,0.42968454356524727,9,0.75,3,0.5,5,0.3333333333333333,0,0.0,2.2495200000000004,0.4346608916120851
Cc1nn(CCC(NNC(Nc2c(OC)cccc2)=S)=O)c(C)c1Br,426.3400000000001,0.46221346815968267,9,0.75,3,0.5,5,0.3333333333333333,0,0.0,2.6789400000000008,0.4976670892316358
Cc1[nH]c(SCC(NNC(c2ccc(OC)cc2)=O)=O)nc1Cc3ccccc3,410.4990000000002,0.41307732870126307,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.3889200000000006,0.4551142099208862
CCCCNC(C(C(=O)c(c1N2)cc(S(Nc3ccc(OCC)cc3)(=O)=O)cc1)=C2)=O,443.5250000000002,0.5155184714166079,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.7756000000000016,0.5118494260159165
CC(CCNC(C(C(=O)c(c1N2)cc(S(Nc3cc(OC)ccc3)(=O)=O)cc1)=C2)=O)C,443.5250000000002,0.5155184714166079,9,0.75,3,0.5,5,0.3333333333333333,0,0.0,2.631500000000001,0.49070650515294484
c1cc(C(NNC(NC[C@@H]2OCCC2)=S)=O)cc(COc3ccc(C#N)cc3)c1,410.49900000000014,0.4130773287012629,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.42518,0.46043442026433756
c1cc(C(NNC(NC[C@H]2OCCC2)=S)=O)cc(COc3ccc(C#N)cc3)c1,410.49900000000014,0.4130773287012629,10,0.8333333333333334,3,0.5,5,0.3333333333333333,0,0.0,2.42518,0.46043442026433756
