ligand_name	scores
4L6Q_protein_compound1000_out.pdbqt	-8.7
4L6Q_protein_compound1001_out.pdbqt	-9.3
4L6Q_protein_compound1002_out.pdbqt	-9.9
4L6Q_protein_compound1003_out.pdbqt	-7.6
4L6Q_protein_compound1004_out.pdbqt	-8.8
4L6Q_protein_compound1005_out.pdbqt	-9.1
4L6Q_protein_compound1006_out.pdbqt	-8.3
4L6Q_protein_compound1007_out.pdbqt	-8.4
4L6Q_protein_compound1008_out.pdbqt	-7.9
4L6Q_protein_compound1009_out.pdbqt	-7.4
4L6Q_protein_compound100_out.pdbqt	-10.3
4L6Q_protein_compound1010_out.pdbqt	-8.8
4L6Q_protein_compound1011_out.pdbqt	-10.1
4L6Q_protein_compound1012_out.pdbqt	-8.8
4L6Q_protein_compound1013_out.pdbqt	-9.5
4L6Q_protein_compound1014_out.pdbqt	-8.6
4L6Q_protein_compound1015_out.pdbqt	-9.2
4L6Q_protein_compound1016_out.pdbqt	-8.7
4L6Q_protein_compound1017_out.pdbqt	-8.3
4L6Q_protein_compound1018_out.pdbqt	-7.9
4L6Q_protein_compound1019_out.pdbqt	-8.9
4L6Q_protein_compound101_out.pdbqt	-8.7
4L6Q_protein_compound1020_out.pdbqt	-9.9
4L6Q_protein_compound1021_out.pdbqt	-7.6
4L6Q_protein_compound1022_out.pdbqt	-9.1
4L6Q_protein_compound1023_out.pdbqt	-8.7
4L6Q_protein_compound1024_out.pdbqt	-8.4
4L6Q_protein_compound1025_out.pdbqt	-7.3
4L6Q_protein_compound1026_out.pdbqt	-7.7
4L6Q_protein_compound1027_out.pdbqt	-8.5
4L6Q_protein_compound1028_out.pdbqt	-9.3
4L6Q_protein_compound1029_out.pdbqt	-8.5
4L6Q_protein_compound102_out.pdbqt	-7.8
4L6Q_protein_compound1030_out.pdbqt	-8.8
4L6Q_protein_compound1031_out.pdbqt	-10.2
4L6Q_protein_compound1032_out.pdbqt	-8.7
4L6Q_protein_compound1033_out.pdbqt	-8.9
4L6Q_protein_compound1034_out.pdbqt	-9.2
4L6Q_protein_compound1035_out.pdbqt	-8.6
4L6Q_protein_compound1036_out.pdbqt	-10.2
4L6Q_protein_compound1037_out.pdbqt	-9.6
4L6Q_protein_compound1038_out.pdbqt	-9.0
4L6Q_protein_compound1039_out.pdbqt	-9.1
4L6Q_protein_compound103_out.pdbqt	-8.9
4L6Q_protein_compound1040_out.pdbqt	-9.3
4L6Q_protein_compound1041_out.pdbqt	-9.1
4L6Q_protein_compound1042_out.pdbqt	-9.5
4L6Q_protein_compound1043_out.pdbqt	-8.7
4L6Q_protein_compound1044_out.pdbqt	-9.4
4L6Q_protein_compound1045_out.pdbqt	-9.3
4L6Q_protein_compound1046_out.pdbqt	-9.2
4L6Q_protein_compound1047_out.pdbqt	-9.6
4L6Q_protein_compound1048_out.pdbqt	-9.6
4L6Q_protein_compound1049_out.pdbqt	-9.5
4L6Q_protein_compound104_out.pdbqt	-10.3
4L6Q_protein_compound1050_out.pdbqt	-9.3
4L6Q_protein_compound1051_out.pdbqt	-9.5
4L6Q_protein_compound1052_out.pdbqt	-9.5
4L6Q_protein_compound1053_out.pdbqt	-8.7
4L6Q_protein_compound1054_out.pdbqt	-9.2
4L6Q_protein_compound1055_out.pdbqt	-10.7
4L6Q_protein_compound1056_out.pdbqt	-7.5
4L6Q_protein_compound1057_out.pdbqt	-8.2
4L6Q_protein_compound1058_out.pdbqt	-9.1
4L6Q_protein_compound1059_out.pdbqt	-9.2
4L6Q_protein_compound105_out.pdbqt	-9.7
4L6Q_protein_compound1060_out.pdbqt	-9.7
4L6Q_protein_compound1061_out.pdbqt	-9.7
4L6Q_protein_compound1062_out.pdbqt	-10.2
4L6Q_protein_compound1063_out.pdbqt	-9.2
4L6Q_protein_compound1064_out.pdbqt	-8.6
4L6Q_protein_compound1065_out.pdbqt	-9.6
4L6Q_protein_compound1066_out.pdbqt	-9.2
4L6Q_protein_compound1067_out.pdbqt	-9.5
4L6Q_protein_compound1068_out.pdbqt	-9.3
4L6Q_protein_compound1069_out.pdbqt	-9.2
4L6Q_protein_compound106_out.pdbqt	-10.1
4L6Q_protein_compound1070_out.pdbqt	-9.2
4L6Q_protein_compound1071_out.pdbqt	-9.1
4L6Q_protein_compound1072_out.pdbqt	-9.5
4L6Q_protein_compound1073_out.pdbqt	-10.3
4L6Q_protein_compound1074_out.pdbqt	-8.7
4L6Q_protein_compound1075_out.pdbqt	-8.9
4L6Q_protein_compound1076_out.pdbqt	-10.6
4L6Q_protein_compound1077_out.pdbqt	-10.3
4L6Q_protein_compound1078_out.pdbqt	-10.1
4L6Q_protein_compound1079_out.pdbqt	-9.8
4L6Q_protein_compound107_out.pdbqt	-10.2
4L6Q_protein_compound1080_out.pdbqt	-9.9
4L6Q_protein_compound1081_out.pdbqt	-8.8
4L6Q_protein_compound1082_out.pdbqt	-9.0
4L6Q_protein_compound1083_out.pdbqt	-9.3
4L6Q_protein_compound1084_out.pdbqt	-9.2
4L6Q_protein_compound1085_out.pdbqt	-8.7
4L6Q_protein_compound1086_out.pdbqt	-9.2
4L6Q_protein_compound1087_out.pdbqt	-9.2
4L6Q_protein_compound1088_out.pdbqt	-8.6
4L6Q_protein_compound1089_out.pdbqt	-10.7
4L6Q_protein_compound108_out.pdbqt	-9.1
4L6Q_protein_compound1090_out.pdbqt	-9.2
4L6Q_protein_compound1091_out.pdbqt	-9.2
4L6Q_protein_compound1092_out.pdbqt	-9.5
4L6Q_protein_compound1093_out.pdbqt	-9.8
4L6Q_protein_compound1094_out.pdbqt	-8.4
4L6Q_protein_compound1095_out.pdbqt	-9.4
4L6Q_protein_compound1096_out.pdbqt	-9.3
4L6Q_protein_compound1097_out.pdbqt	-9.2
4L6Q_protein_compound1098_out.pdbqt	-8.3
4L6Q_protein_compound1099_out.pdbqt	-9.1
4L6Q_protein_compound109_out.pdbqt	-10.0
4L6Q_protein_compound10_out.pdbqt	-9.5
