SMILES,Name
NC(=O)c1ccc2nc(cn2c1)C(=O)N3CCC[C@@H]3c4cccc(c4)C(=O)Nc5nc6CC[C@H](Cc6s5)N7CCOCC7,CHEMBL3704375
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5nnn(c5c6ccccc6)c7nonc7N)sc2C1,CHEMBL3700923
C[N@@H+]1CC[C@@H](CC1)OC(=O)Cc2ccc(NC(=O)c3cccc(c3)c4cc(ccc4CN)C(=O)Nc5ccncc5F)cc2,CHEMBL3426729
CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CC[NH+](C)CC6)c(OC)cc5n2,CHEMBL3666727
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc(cc6)c7ccncc7,CHEMBL3704379
C[NH+](C)CCSc1nc(nc2ccc(cc12)c3cn[nH]c3)[C@H]4COc5ccc(cc5C4)C(=O)NCCN6CCOCC6,CHEMBL1684220
C[NH+](C)[C@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4nnn(c4c5ccccc5)c6nonc6N)c3)sc2C1,CHEMBL3680773
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6cc([nH]n6)c7ccncc7,CHEMBL3704382
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc7NC(=O)C=Cc7c6,CHEMBL3704376
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc(cc6)c7ocnc7,CHEMBL3704372
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc(cc6)n7ccnc7,CHEMBL3704374
Oc1ccc2cc(ccc2c1)C(=O)N3CCC[C@@H]3c4cccc(c4)C(=O)Nc5nc6CC[C@@H](Cc6s5)N7CCOCC7,CHEMBL3704378
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6cccc(c6)c7cn[nH]c7,CHEMBL3704383
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)N6CCc7c(cccc67)C#N,CHEMBL3700980
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(CC(=O)O[C@@H]4CCCOC4)cc3)C(=O)Nc5ccncc5F,CHEMBL3426728
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(CC(=O)OC4CCOCC4)cc3)C(=O)Nc5ccncc5F,CHEMBL3426725
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6cn7ccc(cc7n6)C#N,CHEMBL3700958
COc1ccc(cc1Cl)C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6,CHEMBL3700983
CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CCCC6=O)c(OC)cc5n2,CHEMBL3666725
COc1ccc(cc1OC)C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6,CHEMBL3700982
Cc1nc(sc1C(=O)NCc2cccc(c2)C(=O)Nc3nc4CC[C@@H](Cc4s3)N5CCOCC5)c6ccncc6,CHEMBL3680787
C[NH+](C)[C@H]1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5sc(nc5C)c6ccncc6)sc2C1,CHEMBL3700940
CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N,CHEMBL220241
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3cccc(C(=O)OC4CCCC4)c3F)C(=O)Nc5ccncc5F,CHEMBL3426642
NCc1ccc(cc1c2cccc(c2)C(=O)Nc3ccc(CC(=O)OC4CCCC4)cc3)C(=O)Nc5ccncc5F,CHEMBL3426727
CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CC[NH+](C)CC6)ccc5n2,CHEMBL3666722
Cc1c(nnn1c2nonc2N)C(=O)NCc3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6,CHEMBL3680781
COc1ccc(cc1C)C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6,CHEMBL3704370
O=C(NCc1cccc(c1)C(=O)Nc2nc3CC[C@@H](Cc3s2)N4CCOCC4)c5csc(n5)c6ccncc6,CHEMBL3680785
